Key,French,English,Japanese,Spanish,German,Italian,Ukrainian,Chinese,Arabic
Laser.Step1,Appuyez sur l'interrupteur situé derrière la machine pour la démarrer.,Press the switch located behind the machine to start it.,マシンの後ろにあるスイッチを押して起動します。,Presione el interruptor ubicado detrás de la máquina para iniciarla.,"Drücken Sie den Schalter hinter der Maschine, um sie zu starten.",Premere l'interruttore situato dietro la macchina per avviarla.,"Натисніть перемикач позаду машини, щоб запустити її.",按下机器后面的开关即可启动它。,اضغط على المفتاح الموجود خلف الجهاز لبدء تشغيله.
Laser.Step2,Ouvrez le capot de la machine (partie transparente).,Open the machine cover (transparent part).,本体カバー（透明部分）を開けます。,Abra la tapa de la máquina (parte transparente).,Öffnen Sie die Maschinenabdeckung (transparenter Teil).,Aprire il coperchio della macchina (parte trasparente).,Відкрийте кришку машини (прозору частину).,打开机器盖（透明部分）。,افتح غطاء الآلة (الجزء الشفاف).
Laser.Step3,Placez votre produit/objet sur la grille.,Place your product/object on the grid.,製品/オブジェクトをグリッド上に配置します。,Coloque su producto/objeto en la cuadrícula.,Platzieren Sie Ihr Produkt/Objekt auf dem Raster.,Posiziona il tuo prodotto/oggetto sulla griglia.,Розмістіть свій продукт/об’єкт на сітці.,将您的产品/物体放在网格上。,ضع المنتج/الكائن الخاص بك على الشبكة.
Laser.Step4,Placez la cheville sur la lentille.,Place the peg on the lens.,レンズの上にペグを置きます。,Coloque la clavija en la lente.,Setzen Sie den Stift auf die Linse.,Posiziona il perno sulla lente.,Помістіть кілочок на лінзу.,将挂钩放在镜头上。,ضع الوتد على العدسة.
Laser.Step5,Ajustez la hauteur du plateau jusqu'à que la cheville tombe de la lentille.,Adjust the height of the platen until the pin falls off the lens.,ピンがレンズから外れるまでプラテンの高さを調整します。,Ajuste la altura de la platina hasta que el pasador se caiga de la lente.,"Passen Sie die Höhe der Auflagefläche an, bis der Stift aus der Linse fällt.",Regolare l'altezza della piastra finché il perno non cade dalla lente.,"Відрегулюйте висоту валика, доки штифт не впаде з лінзи.",调整压板的高度，直到销钉从镜头上脱落。,اضبط ارتفاع اللوح حتى يسقط الدبوس من العدسة.
Laser.Step6,Retirez la cheville de l'espace de travail.,Remove the dowel from the workspace.,ダボを作業スペースから取り外します。,Retire la clavija del espacio de trabajo.,Entfernen Sie den Dübel aus dem Arbeitsbereich.,Rimuovere il tassello dall'area di lavoro.,Вийміть дюбель з робочої області.,从工作空间中取出销钉。,قم بإزالة الوتد من مساحة العمل.
Laser.Step7,Refermez le capot.,Close the cover.,カバーを閉じます。,Cierra la tapa.,Schließen Sie die Abdeckung.,Chiudere il coperchio.,Закрийте кришку.,关闭盖子。,أغلق الغطاء.
Laser.Step8,Appuyez sur le bouton POWER pour allumer la machine.,Press the POWER button to turn on the machine.,POWERボタンを押して本機の電源を入れます。,Presione el botón ENCENDIDO para encender la máquina.,"Drücken Sie die POWER-Taste, um das Gerät einzuschalten.",Premere il pulsante POWER per accendere la macchina.,"Натисніть кнопку ЖИВЛЕННЯ, щоб увімкнути машину.",按电源按钮打开机器。,اضغط على زر الطاقة لتشغيل الجهاز.
Laser.Step9,Utilisez les commandes situées à droite pour positionner le laser au-dessus de l’objet placé.,Use the controls on the right to position the laser above the placed object.,右側のコントロールを使用して、配置されたオブジェクトの上にレーザーを配置します。,Utilice los controles de la derecha para colocar el láser sobre el objeto colocado.,"Verwenden Sie die Bedienelemente auf der rechten Seite, um den Laser über dem platzierten Objekt zu positionieren.",Utilizzare i controlli a destra per posizionare il laser sopra l'oggetto posizionato.,"Використовуйте елементи керування праворуч, щоб розмістити лазер над розміщеним об’єктом.",使用右侧的控件将激光定位在放置的物体上方。,استخدم عناصر التحكم الموجودة على اليمين لوضع الليزر فوق الكائن الموضوع.
Laser.Step10,"Une fois que vous avez fini la partie logicielle, appuyer sur le bouton “∥>” pour lancer la machine.","Once you have finished the software part, press the “∥>” button to start the machine.",ソフトウェア部分が完了したら、「∥>」ボタンを押してマシンを起動します。,"Una vez que haya terminado la parte del software, presione el botón “∥>” para iniciar la máquina.","Wenn Sie den Softwareteil abgeschlossen haben, drücken Sie die Taste „∥>“, um die Maschine zu starten.","Una volta terminata la parte software, premere il pulsante “∥>” per avviare la macchina.","Після завершення роботи з програмним забезпеченням натисніть кнопку «∥>», щоб запустити машину.",完成软件部分后，按“∥>”按钮启动机器。,"بمجرد الانتهاء من جزء البرنامج، اضغط على الزر ""∥>"" لبدء تشغيل الجهاز."
Laser.Step11,"Une fois que la machine a fini le découpage, vous pouvez récupérer votre objet.","Once the machine has finished cutting, you can collect your object.",機械が切断を完了したら、オブジェクトを回収できます。,"Una vez que la máquina haya terminado de cortar, podrás recoger tu objeto.","Sobald die Maschine mit dem Schneiden fertig ist, können Sie Ihr Objekt abholen.",Una volta che la macchina avrà finito di tagliare potrai ritirare il tuo oggetto.,"Коли машина завершить різання, ви можете забрати свій об’єкт.",机器完成切割后，您就可以收集您的物体。,بمجرد انتهاء الماكينة من القطع، يمكنك جمع القطعة الخاصة بك.